"Name","Make","Model","Serial Number","Category","Location","Collection","Condition","Heir","Purchased From","Purchase Date","Price","Value","Quantity","ISBN/EAN Number","Tags","Common Name","Size","Notes","Photo Labels and Filenames","Receipt Labels and Filenames","Warranty Issuer 1","Warranty Type 1","Warranty Term 1","Warranty Contact 1","Warranty Notes 1","Note 1"
"Psathyrella dessiminita",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/22/14,"$294.91",,"1",,,,"2 1/4""h x 2""w","Psathyrella dissiminita","Psathyrella dessiminita,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/254D0B08-21B7-4C08-9C84-C1BB1089EC3C.jpg",,,,,,,
"Psilocybe mexicana",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"3 3/4""h x 2 3/4""w",,"Psilocybe mexicana,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/14BCC602-15E0-4E26-82B7-2A2070B7DCB1.jpg",,,,,,,
"Psilocybe nigripes",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,4/22/16,"$359.00",,"1",,,"Landslide mushroom","5 1/4""h x 4""w","Psilocybe caerulescens var. nigripes","Psilocybe nigripes,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/5B2EC0C6-BD85-46D6-9059-43DE8BB5D9A3.jpg",,,,,,,
"Psilocybe zacatoreum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$1,650.00",,"1",,,"Crown of thorns mushroom","7 1/2""h x 6""w",,"Psilocybe zacatoreum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/BA2979E5-83F4-4D40-A4F7-FD2C05ECDF74.jpg",,,,,,,
"Russula delica",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/11/17,"$420.00",,"1",,,,,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/9310EBB9-1935-4D29-8D78-515C1DA27356.jpg",,,,,,,
"Russula emetica",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$260.00",,"1",,,"the sickener, emetic russula, vomiting russula","2 1/2""h x 3 1/2w",,"Russula emetica,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/296BF518-1457-4F04-ADB0-CAAB0A4B3219.jpg",,,,,,,
"Russula fragilis",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/16/13,"$361.05",,"1",,,"fragile brittlegill","3 3/4""h x 4""w",,"Russula fragilis,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/69DC8A1C-23FC-4862-9D29-01EF260CBB7A.jpg",,,,,,,
"Russula lepida",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"rosy russula","3""h x 4 1/4""W",,"Russula lepida,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/775BD2DB-8C15-4EB9-A5A5-5E1C94CECF7C.jpg",,,,,,,
"Russula mariae",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$200.00",,"1",,,"the purple-bloom mushroom","2'h x 3""w",,"Russula mariae,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/DB510D56-CFE6-449D-B0DE-EA486D8451DE.jpg",,,,,,,
"Russula nigricans",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,11/14/14,"$280.00",,"1",,,"blackening brittlegill, blackening russula","2 3/4""h x 4 1/2""w",,"Russula nigricans,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C579CC29-FA21-4F92-A5CF-5A8C0B6D7BC5.jpg",,,,,,,
"Russula olivacea",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,12/1/12,"$335.00",,"1",,,,"2 1/2""h x 3 3/4""w",,"Russula olivacea,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/810DC146-ADC5-4BF7-AEF2-1730E052BC9B.jpg",,,,,,,
"Russula puellaris",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"yellowing brittlegill","2 3/4""h x 4""w",,"Russula puellaris,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/64BC9D8C-731B-4569-A148-E026A0F75CEA.jpg",,,,,,,
"Russula queletii",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,10/4/11,"$275.88",,"1",,,"gooseberry russula","2 1/2""h x 3 1/4w",,"Russula queletii,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/57B273FF-D937-4A1F-A9A8-F4DF8AAD72D2.jpg",,,,,,,
"Russula verescens",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"green cracking russula","2 1/2""h x 3""w","Russula virescens","Russula verescens,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/C7E4CBDE-ED09-4ADB-A0B1-336C1A8A630B.jpg",,,,,,,
"Russula violaceus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,,"2 3/4""h x 4""w",,"Russula violaceus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/BD361E38-3B42-46F4-A26E-C255D1DEBA5F.jpg",,,,,,,
"Sarcoseypha coccinea",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"scarlet elf cup, scarlet elf cap, scarlet cup","3""h x 3 1/2""w",,"Sarcoseypha coccinea,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/AE3774AF-F877-473F-A758-B69A5DFF28FB.jpg",,,,,,,
"Scleroderma citrinum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"common earth ball",,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/9258B36D-328B-432F-AF9E-5075D461CEFC.jpg",,,,,,,
"Scotcaps",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,1/31/17,"$171.00",,"1",,,"Scotcaps","2 1/2""h x 3""w","part of seven mushroom group purchased on Ebay","unknown,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/CC92F794-0B56-4C7F-BC28-F3839B52BD6E.jpg,unknown,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/84C92F4A-0F5C-43EE-93F1-680C9C2970A7.jpg,unknown,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/085C6BAC-C4D9-45BF-B7B8-7B12BE0BA47F.jpg",,,,,,,
"Strombilomyces floccopus",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"old man of the woods",,,"Strombilomyces floccopus,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/7B03855E-D1EA-4789-B4F1-671A2DA78838.jpg",,,,,,,
"Stropharia aeruginosa",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"verdigris agaric","3""h x 4""w",,"Stropharia aeruginosa,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/BCF38B98-559A-4004-87E5-6201E020E224.jpg",,,,,,,
"Stropharia aeruginosa (large)",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/BC2093A5-6345-4ECE-9632-CD615B9DC589.jpg",,,,,,,
"Tremella mesenterica",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"yellow brain, golden jelly fungus, yellow trembler and witches' butter","3""h x 3""w",,"Tremella mesenterica,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/75FADD2E-BE10-4DDC-904B-69A80B18211F.jpg",,,,,,,
"Trichloma Rutilans",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,1/16/19,"$248.00",,"1",,,"Plums and Custard","3.5""","Tricholomopsis rutilans","Trichloma Rutilans,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/2FC1A567-2C0D-42B9-8E21-C9AC5A8D002C.jpg",,,,,,,
"Trichloma terreum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"grey knight or dirty trichloma",,,",/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/2E37A498-6422-4450-9FE3-649824388987.jpg",,,,,,,
"Tricholoma Palumbinium",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,1/10/13,"$843.99",,"1",,,,"5""h x 5""w",,"Tricholoma Palumbinium,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/4DCB0A42-8E21-49C9-883D-91D6CFA70D3B.jpg",,,,,,,
"Tricholoma Russula",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,,"3 1/2""h x 3 1/2""w",,"Tricholoma Russula,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/F1530344-9CBB-41BB-BE32-E7606A15844E.jpg",,,,,,,
"Tricholoma Saponaceum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,,,,"1",,,"Soap-scented Toadstool, Soapy Knight or Soap Tricholoma","4 1/2""h x 4 1/2""w",,"Tricholoma Saponaceum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/FFE74B36-163A-4A07-8A40-5F6BF8CAF625.jpg",,,,,,,
"Tricholoma Sejunctum",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,3/13/15,,,"1",,,"Yellow Blusher","4""h x 3 1/2""w",,"Tricholoma Sejunctum,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/CA1ADCCB-AF41-4E5B-8F4D-D0E8AEC018D7.jpg",,,,,,,
"Verpa Bohemica",,,,"(uncategorized)","(unspecified)","(uncollected)","(unspecified)","(unassigned)",,1/21/17,"$277.50",,"1",,,"Early Morel","3 1/2"" h x 2"" w",,"Verpa Bohemica,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/8B4BAF32-4684-447E-B399-C0F0007E14C4.jpg,Verpa Bohemica,/Users/lrtuggle/Desktop/Home Inventory Export/Exported Photos/59EBF412-E2C8-4E44-B123-3817D336A1A6.jpg",,,,,,,
